Collection,Kessler 13727,Karger 565,Edano UC 308704,Edano UC 308682,Bartlett 13559,Edano UC 916489,Vera Santos 4113,Salit s.n. UC 769086,Sulit UC 1003045,Mendoza UC 98379,Alcasid UC 655462,Edano UC 1053162,McGregor UC 322146,Elmer 17851,Bolster 223,Copeland 71,SITW056454,Yates 2318,Grashoff 50,Clemens 40594,Karger 1031,Winkler 165,Huang 7531
Taxon,G. ramosii,G. ramosii,G. ramosii,G. ramosii,G. ramosii,G. ramosii,G. ramosii,G. ramosii,G. ramosii,G. ramosii,G. ramosii,G. ramosii,G. ramosii,G. ramosii,G. ramosii,G. ramosii,G. fanerii,G. cuspidatum,G. cuspidatum,G. cuspidatum,G. cuspidatum,G. cuspidatum,G. liukiuense
Country,West Papua,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines,Solomon Islands,Sumatra,Sumatra,Borneo,Maluku,Sumatra,Taiwan
Location,Papua Barat,Luzon,Panay,Panay,Mindanao,Negros,Zamboanga,Luzon,Biliran,Luzon,Luzon,Luzon,Luzon,Luzon,Mindanao,Bataan,Santa Isabel,Toetoepan,Sumatra,Kinabalu,Buru,Sumatra,Orchid Island
Terminal LW,4.0,4.4,3.5,4.7,4.7,5.3,5.6,3.8,4.7,3.3,4.7,3.6,4.0,4.3,5.5,4.0,2.8,4.3,3.8,3.2,4.4,4.0,4.7
Lowermost LW,4.7,4.0,4.3,4.3,6.5,5.0,6.5,3.5,4.3,4.3,6.0,3.3,4.9,5.5,5.0,2.3,3.8,4.5,3.3,3.8,5.2,4.8,10.0
Terminal Lowermost LL,1.4,1.1,0.9,1.6,1.1,1.6,1.1,1.1,1.1,1.2,1.2,1.5,1.2,1.2,1.5,2.0,1.1,0.9,2.5,1.1,0.8,0.7,1.4
base category,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,2,2,3,1,1
sporangia category,2,,2,,2,2,2,2,2,2,2,,2,2,2,,1,1,1,1,2,1,1
lamina category,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,2,1,2
Length terminal pinna,20,11,14,21,14,16,14,15,14,15,14,20,20,13,22,16,18,8.5,25,16,11,8,14
Width terminal pinna,5,2.5,4,4.5,3,3,2.5,4,3,4.5,3,5.5,5,3,4,4,6.5,2,6.5,5,2.5,2,3
Length lowermost pinna (excl. petiolule),14,10,15,13,13,10,13,14,13,13,12,13,17,11,15,8,17,9,10,15,13,12,10
Width lowermost pinna,3,2.5,3.5,3,2,2,2,4,3,3,2,4,3.5,2,3,3.5,4.5,2,3,4,2.5,2.5,1
Number of pinna pairs,3,3,4,3,6,1,1,2,2.5,1,1.5,1.5,2.5,2.5,2,2,3,6.5,1,5,4,8,3
widest,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,3,2,2,1
margin category,1,3,2,2,2,2,2,3,1,3,1,2,2,1,2,2,1,2,2,1,2,2,1
